policy_id,policyholder_name,property_address,zone_id,coastal_zone_flag,construction_type,year_built,coverage_type,total_insured_value,policy_start_date,annual_premium
GC-000001,Allison Hill,"18196 Anthony Forge, Marsh Point, Belmara County",Z2,Y,Superior (Reinforced Concrete),1999,Homeowners,534800.0,2022-04-12,2181.5
GC-000002,Lance Hoffman,"79402 Peterson Drives Apt. 511, Port Alden, Belmara County",Z1,Y,Masonry,1972,Homeowners,237300.0,2024-08-25,1270.23
GC-000003,Ian Cooper,"78161 Calderon River Suite 931, Millbrook, Belmara County",Z6,N,Masonry Veneer,1991,Homeowners,226300.0,2022-04-05,805.99
GC-000004,Darren Roberts,"16475 Mitchell Fords, Ridgeview, Belmara County",Z4,N,Frame,2000,Homeowners,235700.0,2025-02-08,888.19
GC-000005,Mia Sutton,"283 Steven Groves, Millbrook, Belmara County",Z6,N,Frame,2003,Homeowners,204300.0,2024-06-21,760.85
GC-000006,Margaret Hawkins DDS,"05641 Robin Port, Cape Verrin, Belmara County",Z3,Y,Frame,1967,Homeowners,330300.0,2022-01-23,2177.94
GC-000007,Emily Rios,"724 John Points Suite 969, Millbrook, Belmara County",Z6,N,Masonry,1997,Homeowners,278200.0,2021-04-02,876.17
GC-000008,Daniel Bright,"01226 Paul Ranch Suite 848, Cape Verrin, Belmara County",Z3,Y,Frame,1978,Commercial,1084600.0,2026-05-10,8814.3
GC-000009,Alexandra Le,"514 Moore Alley Suite 828, Port Alden, Belmara County",Z1,Y,Masonry Veneer,1963,Homeowners,243200.0,2025-02-09,1484.44
GC-000010,Sheila Evans,"52880 Burns Creek, Millbrook, Belmara County",Z6,N,Masonry Veneer,2011,Homeowners,303100.0,2025-10-17,1018.42
GC-000011,Sherry Decker,"03911 Cabrera Trace Apt. 278, Cape Verrin, Belmara County",Z3,Y,Superior (Reinforced Concrete),1996,Homeowners,372100.0,2023-03-03,1535.55
GC-000012,Joseph Obrien,"346 Kim Path, Marsh Point, Belmara County",Z2,Y,Frame,1967,Homeowners,298500.0,2021-03-06,1968.26
GC-000013,David Brown,"839 Adrian Station, Port Alden, Belmara County",Z1,Y,Frame,1959,Homeowners,202000.0,2025-03-03,1368.82
GC-000014,Crystal Whitehead,"83473 Jennifer Ports Suite 376, Ridgeview, Belmara County",Z4,N,Masonry,1987,Commercial,903900.0,2026-02-07,3788.26
GC-000015,Brent Jordan,"7010 Chandler Union Apt. 333, Cape Verrin, Belmara County",Z3,Y,Frame,2014,Homeowners,176000.0,2022-11-15,1003.9
GC-000016,Brenda White,"17810 Tanya Terrace Apt. 267, Ridgeview, Belmara County",Z4,N,Masonry Veneer,1984,Homeowners,273300.0,2025-11-28,999.1
GC-000017,Dr. Steven Martin,"4746 Moore Hill, Ridgeview, Belmara County",Z4,N,Frame,1990,Homeowners,324400.0,2025-09-11,1270.19
GC-000018,Anthony Fitzgerald,"500 Shaw Walk, Port Alden, Belmara County",Z1,Y,Masonry,1989,Commercial,330200.0,2024-12-01,2129.06
GC-000019,Amy Romero,"91361 Beth Canyon, Ridgeview, Belmara County",Z4,N,Masonry,2024,Commercial,1783800.0,2022-11-13,6947.9
GC-000020,Jennifer Silva,"3534 Anderson Rue Suite 751, Hollow Bay, Belmara County",Z5,N,Masonry,2003,Homeowners,321900.0,2025-12-27,990.32
GC-000021,Marc Hart,"83842 Ibarra Gardens, Millbrook, Belmara County",Z6,N,Frame,1995,Commercial,648900.0,2024-11-09,3194.18
GC-000022,Christopher Bass,"808 Huynh Cove Apt. 411, Marsh Point, Belmara County",Z2,Y,Frame,1993,Homeowners,314800.0,2025-01-19,1888.99
GC-000023,Brittney Campbell,"534 King Vista, Cape Verrin, Belmara County",Z3,Y,Masonry,1968,Homeowners,414300.0,2026-01-25,2248.91
GC-000024,Mark Calderon,"52427 Hoffman Creek, Marsh Point, Belmara County",Z2,Y,Masonry,1971,Commercial,2526600.0,2022-07-18,17389.24
GC-000025,Stephen Mckee,"9826 Bobby Lakes, Marsh Point, Belmara County",Z2,Y,Masonry,1974,Commercial,1431800.0,2022-11-30,9750.58
GC-000026,Rebecca Valencia,"31586 Sara Freeway Apt. 260, Ridgeview, Belmara County",Z4,N,Masonry,1997,Homeowners,320200.0,2025-09-04,1008.45
GC-000027,Tim Patton,"342 Patrick Camp Suite 337, Cape Verrin, Belmara County",Z3,Y,Masonry,1974,Homeowners,302800.0,2022-02-05,1609.42
GC-000028,Robert Savage,"36541 Bell Pass, Ridgeview, Belmara County",Z4,N,Frame,2021,Homeowners,506200.0,2023-01-22,1862.82
GC-000029,William Herrera,"42940 Candace Key, Hollow Bay, Belmara County",Z5,N,Frame,2024,Commercial,1142300.0,2023-02-03,5385.94
GC-000030,Emily Obrien,"9340 Smith Valley, Ridgeview, Belmara County",Z4,N,Frame,1976,Homeowners,290300.0,2026-01-18,1196.5
GC-000031,Michelle Harmon,"6159 Alvarado Crossing, Millbrook, Belmara County",Z6,N,Frame,2018,Homeowners,290000.0,2026-05-31,1067.2
GC-000032,Elizabeth Parker,"6482 Robert Light Apt. 994, Port Alden, Belmara County",Z1,Y,Superior (Reinforced Concrete),1981,Homeowners,356300.0,2021-12-12,1555.18
GC-000033,Roy Torres,"9957 Ramos Forest, Millbrook, Belmara County",Z6,N,Masonry,2000,Commercial,1470300.0,2023-10-12,5864.26
GC-000034,Rebecca Moyer,"148 Davis Terrace, Marsh Point, Belmara County",Z2,Y,Frame,1997,Commercial,1300400.0,2024-02-18,9845.78
GC-000035,Eric Drake,"03791 Perry Roads, Millbrook, Belmara County",Z6,N,Masonry Veneer,2012,Homeowners,597900.0,2025-02-05,2008.94
GC-000036,Michelle Cruz,"20163 Linda Square Suite 083, Ridgeview, Belmara County",Z4,N,Frame,2002,Homeowners,169200.0,2025-10-10,632.62
GC-000037,Barbara Anderson,"889 Dodson Mills Suite 872, Millbrook, Belmara County",Z6,N,Frame,1999,Homeowners,240100.0,2025-03-08,908.31
GC-000038,Karen Green,"487 Joshua Club, Ridgeview, Belmara County",Z4,N,Masonry Veneer,2012,Homeowners,625700.0,2026-03-22,2102.35
GC-000039,Cynthia Rogers,"23623 Robert Isle, Ridgeview, Belmara County",Z4,N,Frame,2004,Homeowners,289200.0,2025-12-05,1072.77
GC-000040,Jennifer Clark,"9096 Smith Knoll Suite 668, Ridgeview, Belmara County",Z4,N,Masonry Veneer,2024,Homeowners,293400.0,2022-03-29,985.82
GC-000041,Kimberly Morrison,"3467 Paul Skyway, Marsh Point, Belmara County",Z2,Y,Masonry,2014,Homeowners,333200.0,2024-04-10,1570.04
GC-000042,Jennifer Martin,"98069 Christopher Meadow Apt. 720, Millbrook, Belmara County",Z6,N,Superior (Reinforced Concrete),1996,Homeowners,380700.0,2021-10-07,1013.58
GC-000043,Garrett Gibson,"4641 Smith Plains Apt. 531, Marsh Point, Belmara County",Z2,Y,Masonry,1994,Homeowners,288200.0,2021-09-10,1423.18
GC-000044,Marissa Webster,"09232 Caldwell Port, Marsh Point, Belmara County",Z2,Y,Masonry Veneer,1971,Homeowners,227400.0,2025-10-25,1350.1
GC-000045,Julie Scott,"99124 Beth Inlet Suite 631, Hollow Bay, Belmara County",Z5,N,Superior (Reinforced Concrete),1982,Homeowners,505700.0,2022-05-05,1418.87
GC-000046,Sandra Sanchez,"919 Michael Meadow Suite 185, Millbrook, Belmara County",Z6,N,Masonry,2016,Homeowners,439200.0,2025-02-09,1335.17
GC-000047,Jason Henry,"7262 Gilbert Plain Suite 769, Marsh Point, Belmara County",Z2,Y,Frame,1999,Homeowners,154300.0,2023-06-22,904.77
GC-000048,Samuel Rivas,"7379 Rogers Park, Cape Verrin, Belmara County",Z3,Y,Masonry Veneer,2011,Homeowners,427200.0,2023-08-30,2224.86
GC-000049,Catherine Lewis,"4948 Zachary Field Apt. 367, Millbrook, Belmara County",Z6,N,Frame,1976,Homeowners,653500.0,2021-02-20,2693.47
GC-000050,Cynthia Alvarez,"0143 Holt Inlet Suite 788, Cape Verrin, Belmara County",Z3,Y,Masonry,2000,Homeowners,143300.0,2025-09-12,691.44
GC-000051,Zachary Pierce,"744 Hall Stravenue Apt. 518, Port Alden, Belmara County",Z1,Y,Frame,1952,Commercial,1405100.0,2025-05-15,12486.89
GC-000052,Melissa Lee,"9894 Marissa Hill Apt. 524, Port Alden, Belmara County",Z1,Y,Masonry,2024,Homeowners,611800.0,2026-01-18,2882.8
GC-000053,Joseph Hill,"427 Monique Ports, Port Alden, Belmara County",Z1,Y,Superior (Reinforced Concrete),1964,Homeowners,122300.0,2024-10-01,566.81
GC-000054,John Peterson,"7116 Jones Roads, Port Alden, Belmara County",Z1,Y,Superior (Reinforced Concrete),1997,Homeowners,405800.0,2023-12-18,1668.18
GC-000055,Brittany Shepherd,"31869 Kimberly Light Suite 749, Millbrook, Belmara County",Z6,N,Frame,1995,Homeowners,258900.0,2024-06-14,994.67
GC-000056,Elizabeth Oliver DDS,"34123 Andrea Estate, Marsh Point, Belmara County",Z2,Y,Superior (Reinforced Concrete),1994,Homeowners,564400.0,2021-09-04,2347.04
GC-000057,Jerry Wheeler,"34471 Sandra Turnpike Apt. 618, Port Alden, Belmara County",Z1,Y,Masonry,1975,Homeowners,252600.0,2021-04-04,1337.84
GC-000058,Chase Baker,"02499 Gonzales Mountain, Hollow Bay, Belmara County",Z5,N,Masonry,1986,Homeowners,275100.0,2022-07-05,903.21
GC-000059,Melissa Bender,"1906 Munoz Burg Apt. 399, Marsh Point, Belmara County",Z2,Y,Masonry,1980,Commercial,1183000.0,2024-01-29,7884.84
GC-000060,Yvonne Chambers,"027 Moon Falls Suite 717, Port Alden, Belmara County",Z1,Y,Frame,1989,Commercial,4451700.0,2024-09-10,34746.46
GC-000061,Gary Santiago,"6746 Shawn Island, Ridgeview, Belmara County",Z4,N,Masonry,2005,Homeowners,416200.0,2026-04-16,1270.31
GC-000062,Brian Barton,"876 Jacob Lake, Marsh Point, Belmara County",Z2,Y,Masonry,2024,Commercial,337300.0,2026-02-02,2036.36
GC-000063,Kathleen Ramos,"48247 Martinez Roads, Hollow Bay, Belmara County",Z5,N,Masonry,1989,Homeowners,195900.0,2024-08-18,636.03
GC-000064,Cynthia Moore,"613 Steven Crest, Port Alden, Belmara County",Z1,Y,Frame,1979,Homeowners,307800.0,2026-04-30,1945.31
GC-000065,Brittany Cantu,"467 Sanchez Plaza Apt. 639, Ridgeview, Belmara County",Z4,N,Frame,1999,Homeowners,137200.0,2025-07-08,519.03
GC-000066,Sherry Shields,"5840 Barber Villages Suite 278, Ridgeview, Belmara County",Z4,N,Masonry Veneer,2012,Homeowners,367500.0,2024-11-18,1234.8
GC-000067,Mr. Phillip Bennett,"39636 Louis Mountains Suite 627, Cape Verrin, Belmara County",Z3,Y,Masonry,2016,Homeowners,352100.0,2023-10-06,1659.1
GC-000068,Beth Sanford,"71870 Robert Shoal Apt. 174, Hollow Bay, Belmara County",Z5,N,Frame,2023,Homeowners,234500.0,2023-05-23,862.96
GC-000069,Michael Santos,"865 Brennan Camp Apt. 343, Marsh Point, Belmara County",Z2,Y,Masonry,1950,Homeowners,273200.0,2023-11-09,1575.68
GC-000070,Jessica Garcia,"2400 Flynn Hill, Marsh Point, Belmara County",Z2,Y,Frame,1993,Commercial,1006400.0,2023-05-01,7737.48
GC-000071,Jeffrey Sanchez,"222 Chelsea Light Apt. 792, Cape Verrin, Belmara County",Z3,Y,Frame,1991,Homeowners,201200.0,2025-02-01,1216.5
GC-000072,Mark Stevens,"4821 Landry Radial, Hollow Bay, Belmara County",Z5,N,Masonry Veneer,1989,Homeowners,281100.0,2024-03-02,1008.72
GC-000073,Victor Vaughn,"3671 Patrick Knolls Suite 406, Ridgeview, Belmara County",Z4,N,Masonry,2013,Commercial,1465400.0,2024-06-07,5707.73
GC-000074,Keith Jennings,"743 Robinson Field, Port Alden, Belmara County",Z1,Y,Masonry,1979,Homeowners,311000.0,2021-12-05,1623.7
GC-000075,Megan Le,"104 Johnson Lakes, Cape Verrin, Belmara County",Z3,Y,Masonry Veneer,1982,Commercial,1432700.0,2024-08-17,10477.81
GC-000076,Ann Phillips,"32858 Rivas Glens Suite 451, Hollow Bay, Belmara County",Z5,N,Frame,1969,Commercial,2791300.0,2021-02-08,15108.8
GC-000077,Bernard Webster,"685 Krystal Bridge, Cape Verrin, Belmara County",Z3,Y,Frame,2013,Homeowners,126200.0,2022-04-01,719.84
GC-000078,Caleb Richardson,"651 Thomas River Suite 931, Port Alden, Belmara County",Z1,Y,Masonry,1997,Commercial,2729500.0,2024-04-29,17071.91
GC-000079,Julie Haynes,"20047 Colton Plain Apt. 675, Cape Verrin, Belmara County",Z3,Y,Frame,1950,Homeowners,455900.0,2022-11-16,3182.96
GC-000080,Natalie Bautista,"261 Gilbert Harbors Apt. 537, Millbrook, Belmara County",Z6,N,Frame,2001,Commercial,1963200.0,2024-06-06,9441.62
GC-000081,David Cox,"506 Lopez Crossing Suite 139, Marsh Point, Belmara County",Z2,Y,Masonry,1975,Commercial,609100.0,2025-05-09,4133.27
GC-000082,Amber Cook,"318 Brenda Via, Cape Verrin, Belmara County",Z3,Y,Superior (Reinforced Concrete),2024,Homeowners,200900.0,2024-10-03,797.17
GC-000083,Erin Hernandez,"2284 Daniel Way, Ridgeview, Belmara County",Z4,N,Frame,1988,Homeowners,195300.0,2023-01-10,770.45
GC-000084,Adrian Tyler,"502 Williams Streets, Millbrook, Belmara County",Z6,N,Masonry,1971,Homeowners,328500.0,2023-01-02,1138.45
GC-000085,Brian Brown,"8917 Sonia Cape Suite 700, Marsh Point, Belmara County",Z2,Y,Frame,2018,Commercial,385300.0,2021-01-10,2815.87
GC-000086,Dr. Jessica Rodriguez DDS,"15921 Joshua Roads Suite 698, Millbrook, Belmara County",Z6,N,Masonry Veneer,2017,Commercial,821200.0,2021-06-26,3535.27
GC-000087,Jonathan Jordan,"836 Beasley Loop, Marsh Point, Belmara County",Z2,Y,Masonry,2008,Homeowners,241000.0,2026-05-07,1135.59
GC-000088,Jesse Perry,"6545 Gloria Mountains, Cape Verrin, Belmara County",Z3,Y,Frame,1986,Commercial,1052500.0,2022-12-10,8307.29
GC-000089,Ronald Davis,"528 Brenda Points, Millbrook, Belmara County",Z6,N,Superior (Reinforced Concrete),2022,Commercial,1312500.0,2025-01-21,4305.0
GC-000090,Meagan Jenkins,"049 Bell Ports Apt. 273, Marsh Point, Belmara County",Z2,Y,Frame,1976,Homeowners,203400.0,2025-12-01,1299.42
GC-000091,Hayley Hawkins,"9368 Chelsea Shoals, Marsh Point, Belmara County",Z2,Y,Masonry,1960,Homeowners,482400.0,2021-06-03,2691.31
GC-000092,Debra White,"5022 Jones Streets Apt. 183, Cape Verrin, Belmara County",Z3,Y,Masonry,1978,Homeowners,410400.0,2021-08-24,2150.39
GC-000093,Jesse Moore,"599 Nicole Drives Apt. 901, Cape Verrin, Belmara County",Z3,Y,Masonry Veneer,1969,Homeowners,251900.0,2024-05-15,1506.06
GC-000094,Matthew Tucker,"4381 Jordan Haven Suite 840, Hollow Bay, Belmara County",Z5,N,Masonry,2003,Homeowners,288000.0,2026-02-17,886.03
GC-000095,William Brown,"3244 Wilson Parks, Marsh Point, Belmara County",Z2,Y,Frame,1983,Homeowners,381300.0,2023-09-11,2375.03
GC-000096,Casey James,"851 Hensley Canyon, Millbrook, Belmara County",Z6,N,Frame,2024,Homeowners,310400.0,2021-05-18,1142.27
GC-000097,Joe Miller,"696 Roberts Lodge Apt. 529, Millbrook, Belmara County",Z6,N,Masonry,1995,Commercial,400800.0,2021-02-22,1629.81
GC-000098,Michael Cox,"36968 Randy Inlet Suite 352, Marsh Point, Belmara County",Z2,Y,Frame,1955,Homeowners,414200.0,2025-08-14,2844.57
GC-000099,Mark Schmidt,"5231 Jonathan Extensions, Port Alden, Belmara County",Z1,Y,Frame,1994,Homeowners,190100.0,2025-09-16,1136.38
GC-000100,Paige Rios,"779 Maldonado Port, Marsh Point, Belmara County",Z2,Y,Masonry Veneer,1996,Homeowners,283900.0,2023-12-11,1537.69
GC-000101,Victoria Morris,"71774 Vargas Knoll Apt. 477, Port Alden, Belmara County",Z1,Y,Frame,1973,Homeowners,223100.0,2025-03-17,1440.54
GC-000102,Jacob Mitchell,"986 Carpenter Turnpike, Cape Verrin, Belmara County",Z3,Y,Frame,1966,Homeowners,173300.0,2021-02-16,1146.66
GC-000103,Amanda Stout,"9782 Shannon Valleys, Ridgeview, Belmara County",Z4,N,Frame,1998,Homeowners,257100.0,2022-09-17,976.4
GC-000104,Gwendolyn Klein,"37788 Michael Haven, Cape Verrin, Belmara County",Z3,Y,Superior (Reinforced Concrete),2002,Homeowners,290400.0,2021-01-28,1170.74
GC-000105,Raymond Shelton,"515 Angela Lights, Marsh Point, Belmara County",Z2,Y,Masonry,2003,Commercial,601500.0,2023-01-20,3674.98
GC-000106,Nathaniel Douglas,"1925 Ponce Square, Hollow Bay, Belmara County",Z5,N,Frame,1994,Homeowners,412000.0,2024-04-30,1588.94
GC-000107,Betty Fletcher,"8652 Debbie Manors, Marsh Point, Belmara County",Z2,Y,Frame,1976,Homeowners,179100.0,2021-05-25,1144.18
GC-000108,Alicia Parker,"7332 Chris Vista, Marsh Point, Belmara County",Z2,Y,Masonry,2012,Homeowners,162900.0,2021-08-16,767.58
GC-000109,Katie Fernandez,"592 Moore Falls, Cape Verrin, Belmara County",Z3,Y,Masonry,1980,Homeowners,548200.0,2022-03-01,2851.76
GC-000110,Patricia Lamb,"706 Rhodes Freeway, Marsh Point, Belmara County",Z2,Y,Masonry Veneer,1962,Homeowners,362200.0,2026-06-13,2218.33
GC-000111,Lisa Goodwin,"83473 Gregory Ports Suite 746, Ridgeview, Belmara County",Z4,N,Frame,1990,Homeowners,229900.0,2026-01-28,900.18
GC-000112,Jennifer Martin,"240 Sawyer Plaza, Hollow Bay, Belmara County",Z5,N,Frame,2011,Homeowners,299800.0,2021-04-28,1103.26
GC-000113,Michelle Black,"1247 Mariah Course, Marsh Point, Belmara County",Z2,Y,Frame,1997,Homeowners,307800.0,2024-11-16,1818.9
GC-000114,Courtney Hayes,"60685 Paul Common Suite 305, Cape Verrin, Belmara County",Z3,Y,Masonry Veneer,1971,Homeowners,368900.0,2021-05-20,2190.2
GC-000115,Sara Santos,"04727 Gilbert Common, Port Alden, Belmara County",Z1,Y,Masonry,1999,Homeowners,140400.0,2026-03-07,680.09
GC-000116,Daniel Hernandez,"43410 Robert Underpass Suite 117, Marsh Point, Belmara County",Z2,Y,Masonry,1974,Homeowners,114900.0,2025-08-01,610.71
GC-000117,Alexis Robertson,"246 Christina Garden, Millbrook, Belmara County",Z6,N,Frame,1990,Homeowners,388200.0,2023-02-24,1520.0
GC-000118,Chelsea Barnett,"88888 Peter Mountains Apt. 654, Port Alden, Belmara County",Z1,Y,Masonry,2011,Homeowners,342900.0,2025-05-24,1615.74
GC-000119,Heather Jones,"195 Bradley Plains, Hollow Bay, Belmara County",Z5,N,Superior (Reinforced Concrete),2005,Commercial,757400.0,2022-08-11,2494.21
GC-000120,Marvin Greer,"722 Jennifer Mount Apt. 430, Marsh Point, Belmara County",Z2,Y,Superior (Reinforced Concrete),1998,Homeowners,347600.0,2026-01-26,1423.41
GC-000121,Stacey Stewart,"687 Johnson Rue Apt. 450, Port Alden, Belmara County",Z1,Y,Frame,1997,Homeowners,435700.0,2021-05-12,2574.7
GC-000122,Evelyn Martinez,"6765 Tyler Parks Suite 841, Marsh Point, Belmara County",Z2,Y,Masonry,1978,Homeowners,628400.0,2023-03-11,3292.66
GC-000123,Angela Morrison,"451 Mark Hill, Cape Verrin, Belmara County",Z3,Y,Frame,1988,Homeowners,570400.0,2024-06-02,3487.82
GC-000124,Lance Simmons,"7059 Hill Turnpike Apt. 165, Marsh Point, Belmara County",Z2,Y,Masonry,1950,Homeowners,514900.0,2024-04-17,2969.68
GC-000125,Nicole Moore,"97021 Kimberly Lakes, Marsh Point, Belmara County",Z2,Y,Frame,1997,Homeowners,476300.0,2024-06-08,2814.62
GC-000126,Travis Johnson,"755 Hines Ports, Cape Verrin, Belmara County",Z3,Y,Superior (Reinforced Concrete),2002,Homeowners,431100.0,2021-10-16,1737.97
GC-000127,Jacob Edwards,"10278 Mcintyre Crest Suite 473, Port Alden, Belmara County",Z1,Y,Masonry,1996,Homeowners,324500.0,2023-03-17,1590.21
